Category,Type,Shot/Movement Name,Definition/Description,Primary Purpose/Effect,AI Prompt Keyword,Prompt Example,Image Example
**Shots**,Distance & Size,Extreme Wide Shot (EWS),The subject is barely visible; emphasizes the vast landscape or location.,"Establish the vastness, show isolation, or emphasize scale.","EWS, Vast, Landscape","Extreme wide shot of [img 1] standing alone in a vast, empty frozen tundra. The subject is small in the distance, surrounded by massive snowy mountains. Cinematic lighting",e7b6a654-aa5c-41a5-9f29-52bc8efa0eb6.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/qXo1IHpWDkRLRSolSs2D-w/eIOczxRv_ISZcaM8jga-OugMnttxr0Y0gjLE8b6W65_bEudLS7a0ocj1cM7gHnWXfOL0NNIZK4n8w-JZjTDrs0t6zjJ6lpNF1efa3msSc2SHukOvtjMIm3HZgyvRgD0Tgp_JeZy3cCZCVqyPXVD8bO6i11kpKneq8W-zlFCeFFmYwskbc4u4cpdufkX5gZ5f/oeR_6ZzmrknaGcvn4-R1ohGg9D1wD23IX5qg8tPrXDM)
**Shots**,Distance & Size,Wide Shot (WS) / Long Shot,Shows the full subject (head to toe) and the environment.,"Establish context, show subject's relationship to surroundings.","Wide Shot, Long Shot","Wide shot of [img 1] standing full body in a snowstorm. She is wearing fur armor, boots visible, centered in a snowy forest clearing. Environmental context.",b612fd33-78b7-4c53-8f8c-c9268d02a12d.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/cGVeq4mP36XPlqajbKuXOQ/LBo-rOBYZCa3IArywE-TDX3s2Ugp4QLUPb2PcaZ26aWQmLFFKOV3HMP_kmWqDdzCDYif1Fy9qXAA_XnHH9HOGW2dhuRE6-_AK7knhLnxmYv-NTM7T-DDABe_OMsBnKo1tIL2Ls8hxSjIlv6dxugX0XYKhMZ5qt7SoAnnbxJluFfztHDT0oOwoRdzJqcChVZj/LofAv7Yb_3rvNwTyPUdIwZO3vGg_5ZjJahsv5YFRT6E)
**Shots**,Distance & Size,Full Shot,"Frames the subject from head to toe, filling the frame roughly top to bottom.",Show full body language and costume/attire clearly.,"Full Shot, Head to Toe","Full body shot of [img 1] from head to toe. She stands confidently in the snow, holding a weapon at her side. Detailed costume design",0a5bba9f-6929-4357-8c7a-43d63f2dce34.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/nX2WZrrseg30lU8FEwGj0w/l-keL_gZTPBuFHVDQ2FSqVaVGoZnHnSGR0xb_x-BnSX-Dq75p4xgEx3xJQMY9dst8KuSZ5qbhYzKhvM-EcBSzrhtHv-EALoar0Wprp6OWL4W3E4E2MPtvWiN1phCEYUWJllpXICJzNaHbuvPB0LsLumaqe10NfTH2f2db6RAsiMA78jFEO27FeZ2BxzDU622/4yVgU0qzmwYJDFGXpvwPLJzpVzf_uEdIM6DKQdTJlF4)
**Shots**,Distance & Size,Medium Long Shot (MLS),"Knees up. Also known as a ""3/4 shot.""",More focus on the subject while retaining some environment context.,"MLS, Three-Quarter Shot","Medium long shot of [img 1] framed from the knees up. She is walking through deep snow, looking towards the horizon. 3/4 angle view.",76f3719a-6eff-43e9-b26c-307aa5ae2762.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/np7aoJUsAPlrZfkCo1xvBg/mcw85BfrR68w4IR8PqLQ5mVqHIKhB6917DkVOCc4GWFaxgxEwW7Iv0kAe69ERSAr9JqBILqD0pS55uPVE0KrjmwDV7GfNu8aTFFVNYk_oz0bwZCU1cwh37X_nUTaR4toEb-UW9TsBje7l3YG9pb7dvY77ppPJUgIjDcr35cp9MgG8QatamSnosW2RCsW5UBU/erO3Uk8VGG1dHRQutHxT_1GnpveAjo4RBUICtIdtzkw)
**Shots**,Distance & Size,Cowboy Shot,Mid-thighs up. Originates from Westerns (to show the gun holster).,"Powerful and confident framing, emphasizes action readiness.","Cowboy Shot, Mid-Thighs Up","Cowboy shot of [img 1] framed from mid-thigh up. Focus on her hands resting on her belt, confident stance, snowy background with soft bokeh.",31d3297f-05ec-4b87-8c39-50c518cc46da.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/H8aK6rVwVdQliwwZguTYRQ/Z0OoK2NcCMhalQeAbDRZmxEaoYFNP8C5JHe7MpLPL4IzOKGQrC1hMWQ59AG5yhlxHW_AaOz6-i-_e9zQwXZBaaV4DwZLzpnb1WKuw_fhqdBTQ-Kind9U9RSFXsd8Gv58COe2yjsizA7R70u0NGFZ1YcA1Q4FmPkF2dVOdHXfunKfgtI7T6VVZ7B3XflEH5k6/Z2Ec0Boh38dXGizF2rMqMjdgaSe-GBD1OQWVAIt2Jk8)
**Shots**,Distance & Size,Medium Shot (MS),Waist up. The standard storytelling shot.,"Captures body language and face, ideal for dialogue.","Medium Shot, MS, Waist Up",Medium shot of [img 1] from the waist up. She is looking directly at the camera with a serious expression. Snowflakes falling in the foreground.,90e9961a-ba56-4ee3-b88c-bf05d8e47ade.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/LDbvfPL0MzXkfmJXYCAIdg/Jm6-SbhOaUWvffsZo-qZJEhxGCx1RVvdycWSsLf7ilpv_m77hzXt9Tjw0eXTSs_nRAOANNwAMawRr5IPJqbN3U-8QuhA69-qsPPJe7c7aC0c0KDIxPn830K7z5t-44qrjr8tZdM0UEj-f1sSKNoAYOLXRNYU9rcH_U-tkHtYzDTrHecl1_pgnAGrQdFo-bHU/MehoV-HRPm1gTKDuGVUysxDWt7B-xzujCyQijZHfcuU)
**Shots**,Distance & Size,Medium Close-Up (MCU),Chest/Shoulders up.,Focuses on the face but keeps some distance for context.,"MCU, Chest Up",Medium close-up of [img 1] framed from chest up. Focus on her face and fur collar. The wind is blowing her braided hair. Intimate and dramatic,79004d1e-54fd-4229-bc85-df10bc4971a4.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/9FfFGmdgh3-WFjYLasLQ-A/jU-kFUcYAPsCNEfEQ_2VGG9dKZER5x-KQ_veJQPeTTkWRGAIpUGxYk0z7UIyfqx7WQHF4J1tBWMkmfvuofYch_BDFODxokMbG6Qw2NN0HuoY0f83RVlqrea5pMTt6FGHpgvu4syBCh-jQQE9hi-G6RV2olZaO7uy1BM0MN4kI5N9xdwCJa7bYy4mwRkNrVIa/2D36iu1K_2jBmtMdeM_IE52dP_AJ6tqDs78CFQml4Yk)
**Shots**,Distance & Size,Close-Up (CU),Head and neck only.,"Pure emotion and facial expression, high intimacy.","Close-Up, CU, Pure Emotion","Close-up of [img 1], framing only her head and neck. Her piercing eyes looking into the lens. Frosty breath visible in the cold air.",450493be-7574-4958-b8b3-e76a925041df.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/p1UznM_ZWwLub-vGXa3sjg/5-POQDb3eMcwE_UQYZ2tskI3CZh-DJQ8jg3ss8kmC7iykJPjgf3Lwc1EUF54waXKRfjPrJK1GZ__CTW6W0dmVrsl8Yo0rrbzPvkiULZ_ZIDMK5-VfPX_4MpUk1S6ppx15MdDD4FmqWDEzjG-K7WF0GcyT8PibvnEhqnkCZNKr_mKuef9aFKusq1xRdt1v2bP/1RQCm3jyX-_szQrKhb3iD7wNKnW0bsGH1KoFx0JXrVA)
**Shots**,Distance & Size,Extreme Close-Up (ECU),"Focuses on a specific detail (just the eyes, a mouth, a finger pressing a button).","High intensity, highlights critical detail, pure focus.","ECU, Focus on Detail","Extreme close-up on the eyes of [img 1]. Macro detail of the iris, snowflakes caught in her eyelashes, war paint texture. Intense gaze",897df60e-e43a-4af8-9a24-899d3df1da6e.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/aivRy5FmGjq1AsEOCbq6Jw/M8nAtAQAg6VOjIdjnsuyrGhyDG3Fx_pcuqO12Xhn2hSNaXIekMJ5G8iDTEd8dlKYSbl_wXowW0axnB2x_IzruLVt2rQ4BqeZTDeYVGtnmsMOV8bmLMZaozrukoaBG1Fv9VLZhrqnaRpLmUZwEMwIga6xJcCm74rR7SbJqrYvr9IWrNbRo3YujyKFufuFV4_n/aa6VdVBrAJwJObsIoR4Gb_0r0XX6IefQVEwa3IWiQKU)
**Shots**,Distance & Size,Macro Shot,"Microscopic level detail (e.g., texture of fabric, a bug on a leaf).","Reveal texture or highly detailed, unseen elements.","Macro Shot, Microscopic Detail",Macro shot of the texture of [img 1]'s fur armor and the frost on her skin. Microscopic details of snow crystals and leather grain,00dc258d-cfb1-4c24-b7ff-945aa832ce6c.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/S4m7OsN595H5DzNKX34viA/eNFMjQ01P7RkOuJ-LAAbm6MnZ10O_MPHWvu-LUe1NcKRUJMOwiucn8RMzUtXrgeaChiN2dsxFBbEC7Jut1JfFRGxxQUSd4Qrr5Bc9BS5ZtRVqJG4Yd5O1d5YMavv9-lv28gZQWcq1ejbD0gTvg5R74R2PBgfLDITEiXnN2sYGz0SDUvlFNC4qD2L_8AmWwDk/1G7-vs-IrJDXEDCe-LM3AYVIxH3JkPTWsSlrZp1AVmg)
**Shots**,Angles,Eye-Level,Neutral perspective.,"Realism; how we see the world naturally, creates connection.","Eye Level, Neutral Angle","Eye-level shot of [img 1] facing the camera. Neutral perspective, realistic documentary style portrait in the snow.",9d4f08bc-8a87-4d0c-ae53-f888ada3c430.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/F_zzYUSDmp21u8hR70WNpw/O5PGkskWOuQTL-1Y7r1iD9-YuNfF13iX7BOzfjjgswO3cEglOZtVhowTTD8hEalqJkIQHeANvsOoSyB9GwylHj86V2mKQOTyRrcOFeYVqpTNM0jwrru5A2LE9fAI43t9Bvj4Lqw9TH93nfhKRvRHcoJsxV0deBZqLncUR0xnWU239j96kMibR9GGlrinFYpu/NL8tjUmJnJ8FXFQ12lIiNPMqox-TiQP4ef8oETo2hjo)
**Shots**,Angles,Low Angle,Camera looks **up** at the subject.,"Makes them look powerful, dominant, or scary.","Low Angle, Dominant","Low angle shot looking up at [img 1]. She towers over the camera, looking powerful and dominant against a stormy sky.",5aa4096f-3789-4326-a102-456008cd3f36.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/MeO6hWH9VZmT7uRVoupyWA/IaGFnEA3zsfNONn4Gg5FZTtymK8XrzE8ctFoQ0bWfbA8BVp8prVisr17FtnPE433Q6p4gxVkCPD4cibrLukFVE1vYfJ4QCeL_rWkxkCQg8fv6Ppp2SGflCmopAOKab8YrMdKdTrto4b5zze66eWNQgb-p4avDVwI0cmt8xmOaILHsEpmbPMKJ_9kuCAX7N6J/uWWuEspH0UgGlmOOYrUsg0S_MEYjBKtO0cgL3C52UlI)
**Shots**,Angles,High Angle,Camera looks **down** at the subject.,"Makes them look small, weak, or vulnerable.","High Angle, Vulnerable, Small","High angle shot looking down at [img 1]. She is looking up towards the camera, snow falling onto her face. Vulnerable perspective.",59af72b0-8677-484b-8f63-5e4c2f40060f.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/2mNbxnAzCrtfbSdPl9L9Xw/R3JM1TepJtkefQmgbbJJttHD_1PTjhbdrxzQLV8qT0bT9wacu2jhP75UMYdYul39dQhlKcCKMmX129RluHrqzMHAgAE4kAdpywKghqC5GXObxUZ-iD9gsriAEpqT6dpFglTFd48v6M0P9TruyXcjFs8cW_hFmnJ4pq5H4-4QhAI8cXj1cmgUGhKpnevoV11e/TcgvJx05XZER3oMHLA6PI53ZXtpNsFPAawIjePwP_E4)
**Shots**,Angles,Overhead / Bird’s Eye View,Looking straight down (90 degrees) from the sky.,"Graphic and map-like, often used for scale or tracking.","Bird's Eye View, Overhead Shot",Direct overhead bird's eye view of [img 1] standing in the snow. Top-down angle showing her shadow stretching on the white ground.,db6db9f7-be66-48e8-9b6f-04ea8c606520.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/5NLz0SBsRB_G4TeragvAjQ/vOW8JjzgTv3tin6jH2BguvO7prU1up9iTI7aet0jzyapbdT9o6gEgP8kMii3yxTJMCfmadXOxPmzbrKfW4G4GtOh_KVUE5UTYGEhNlwZvUIckgQ9LtJupfS5T9xd77l9oY4OH8f5bqqoyFKzpV-B6IcGXLdc2E6iGbjtBFCSGOxJgv4ZBnf5g1Vkx-lPbDvt/__F7crzEeLaOqlyZAMM7zjUfoED7wuGyhnsUbADnR9Y)
**Shots**,Angles,Worm’s Eye View,"Extremely low, looking up from the ground level.","Exaggerates height/size, gives an unusual perspective.","Worm's Eye View, Ground Up","Worm's eye view from the ground looking up at [img 1]'s boots and legs, with her face distant in the sky. Ant-man perspective",69b308cd-74fd-49d8-a814-ed34695e1fdd.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/K9NJCr8uisQLlWLI2sdiWw/zthZj3Xxaz1_qzms9DdI5mfxcPR5lwtGz4dLAfTMeNtVmhhiaFNHcfmyFy0qZEY04-Vmtxago8NtNsnvrgXkcCTE316Vnd58V-4bZnliMvxaBHHpVhXXDnK6w0tl9eUKHkHjZ-GigOOVI70MxrYQ6FoZb863QKRoOmOXB1PLKWxEUV3WJF93mmfDGvz11ZZQ/p-JojXW6xmlZ7_MOAguNeXV89yLeRFWUIV2KglIsLW8)
**Shots**,Angles,Dutch Angle / Canted Angle,The camera is tilted sideways (tilted horizon).,"Creates unease, disorientation, or chaos.","Dutch Angle, Canted Angle","Dutch angle shot of [img 1], tilted horizon line. Disorienting and chaotic atmosphere, battle ready pose, dynamic composition.",58a12b5a-8094-461a-b80a-a570130dfdb2.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/n7ohxpIvUpah6Cd0VRuGHg/WgJ7Z-DstUph55b5sY2ylMOZolIh3mZfVqiI8wB-t-TmQAZV_jJVPm2Lph-y26PwEHI7Sbklly7O52MAWAx858C3xB6fJJk3Ee54hYGz_OXgUTJ6LU51jFlTKN5JHJwfPtXTkjMkLkVyoOc1yLEEOPg1hBYbd0xsTpd4jIJBS069WVdc8Bv5-BExZt3TYhFH/Jv5WJpJEGmSb46i4UMOeo0rl74bB2SDVc6L39NhgnA4)
**Shots**,Angles,Over-the-Shoulder (OTS),Looking past one person’s shoulder at another.,"Essential for dialogue, grounds the conversation.","Over-the-Shoulder, OTS","Over-the-shoulder shot looking past a blurry Viking warrior in the foreground, focusing on [img 1] who is staring back at them.",ffcb5a12-32ef-496f-8208-8396b4f7fb0f.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/82bv7hb-RQ4G3rmuNoy3Gw/ccJl5hd3MU_YHe0HyeaHrJ90h93E1n2UFEEnWENq0Q56ZoPKWZ_ngRLkjrqTzCRM4suWSii1TO3Yq4sgvNo-5PyqkiM4GKy7PWJRlukLFwvbLS-kQIfNcE9Ycs7F0FhTBv7zun46BpJzYbsEGFXPBLTp_m4cxweumGX3mEJ3t17OAP177FfMNRhv5X3TwLRB/gCAqCr8FevFW5FLd7H0OYwhRtVhkiCcjglTJpwGXQro)
**Shots**,Angles,Point of View (POV),The camera *is* the character’s eyes.,"Viewer experiences what the character sees, high immersion.","POV, First Person Perspective","First person POV shot of someone approaching [img 1]. She is looking directly at the viewer, hand extended as if greeting the camera.",ea3e63b9-263a-4ae8-8510-724a20a007d5.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/_9dQytaQpy_Lb84EwJPJfQ/OAPfCZe5LOw6icOc1XZr3yO88YQpmr_pGgUpNzpa3i1kgf_ktowRPxHNmVHIR8oQPelJk_QVoj2-2DyOHHHEZIZfdGH7v0EOZ9PfInsOeS_yGspKzE7sdJeB49OQBnatfgPRsoiawxy4T2TU9FIPqEQIz8ho8eTwutOkppp1dmzMt5XG5uR2cM47T5uo6ZSa/bi6J-8ltB5uEKQILNnAHvMzIcQt6axMXPAvPTQLizXs)
**Shots**,Angles,Selfie Angle,"High angle, arm’s length, facing the subject.","Common in social media aesthetics, informal, close.","Selfie Angle, Arm's Length","Handheld selfie angle of [img 1] looking into the lens, arm extended. Casual vlog style, snowy mountains in the immediate background.",4b443b23-d4c9-4033-af2e-9f7e7aac1711.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/KW1t8z9VhSS-jvHYWb4Q_g/klEWYDh5NON5kzilT8K2jOEwqjFtsTuX4PhhoFQkA_et8yId3u57FxW1ldiYzw6XnUYvhbMoKe34gliKdSwSCHrhIhUV0ac88sPcThHLKsSzxc5DCvr1UgNYTHmYqrdhHJOh9tsAj0wCxTtgrnrn3TcOkyiMb1QgCOMYhRmrdWCk3YKyW8RaWVp9T-hyksry/GxeB55udzDBJXa0-PBRgi5oZ4x5XmlzpgcBuTyzvSaE)
**Shots**,Angles,Ground Level,"Camera sits directly on the floor/surface, often with shallow depth of field.",Immersive close-up of the ground or environment.,"Ground Level, Surface View","Ground level shot, camera resting on the snow. Shallow depth of field with snow crystals in foreground, [img 1] walking in the background.",1b2b0834-4073-488e-a303-fa465cfe5c50.png (https://v5.airtableusercontent.com/v3/u/54/54/1780610400000/LufrV7SNhIsB7yeizgeIbA/y6mv1rJA2IDMfbcV8YdOfTCDvx02eFIP8TkZGUDpCdd5qaEl4Bc11VNUIF6KnIRb_CPr-dxwieaP1I-y_MOKJhzXSL9TTisHD8S02F21SSlJtT2ro-Ren7lqwMmwfK5vfseJjY_ipXYfInLmE_pNYaJ9xt6FtbhzHU9qWFHXuJVnV9zFzQm_Ca1NSpTJy_vC/AzqqaEFh3NamQUgkXwJSixTcicxtNZ9xNzgD6nC7RkI)
**Movement**,Basic Moves,Static,No movement. The camera is locked off on a tripod.,Focus on subtle subject animation or internal conflict.,"Static Shot, Locked Off Camera",Static camera shot of [img 1]. She stands perfectly still while snow falls heavily around her and the wind moves her hair. Tripod shot.,
**Movement**,Basic Moves,Pan Left / Pan Right,The camera rotates horizontally on a fixed axis (like turning your head).,"Follow a subject, reveal a new part of the scene.","Pan Left, Pan Right, Horizontal Move","Camera pans slowly from left to right, starting on a snowy tree and revealing [img 1] standing in the distance.",
**Movement**,Basic Moves,Tilt Up / Tilt Down,The camera rotates vertically on a fixed axis (like nodding your head).,Reveal a subject's height or a dramatic vertical structure.,"Tilt Up, Tilt Down, Vertical Move","Camera tilts up, starting at [img 1]'s boots in the snow and moving up to reveal her face and the mountain peak behind her.",
**Movement**,Basic Moves,Zoom In,The lens focal length changes to get closer.,"Focus attention, flatten the background.","Zoom In, Lens Zoom",Slow zoom in on [img 1]'s face. The background compresses as the camera gets tighter on her expression.,
**Movement**,Basic Moves,Zoom Out,The lens widens to reveal more context.,"Reveal context, shift focus to the environment.","Zoom Out, Wide Reveal",Zoom out from [img 1]'s eye to reveal she is standing on the edge of a massive cliff. Establishing the environment.,
**Movement**,Basic Moves,Pedestal Up / Down,The *entire* camera physically moves up or down (elevator motion).,Change the subject's relationship to the ground or surrounding objects.,"Pedestal Up, Pedestal Down","Camera pedestals up, rising from the snow level to eye-level with [img 1], revealing her stature against the mountains.",
**Movement**,Advanced Physical,Dolly In,The camera physically moves *forward* toward the subject.,"Increases intensity/intimacy, draws attention to a realization.","Dolly In, Moving Forward","Smooth cinematic dolly in towards [img 1]. The camera physically pushes forward through the snow, getting closer to her.",
**Movement**,Advanced Physical,Dolly Out,The camera physically moves *backward*.,"Signals ""leaving"" or ""conclusion,"" reveals the scale of the environment.","Dolly Out, Moving Backward","Cinematic dolly out from [img 1]. The camera physically moves backward, starting close to her face and retreating to show her alone.",
**Movement**,Advanced Physical,Truck Left / Truck Right,The camera physically moves sideways (parallel to the subject).,"Keeps pace with a moving subject, shows a dynamic journey.","Truck Left, Track Right, Parallel Motion","Truck right camera movement. The camera slides sideways parallel to [img 1] as she stands in profile, revealing the army behind her",
**Movement**,Advanced Physical,Orbit / Arc,The camera circles around the subject (360 degrees or partial).,"Heroic and cinematic, shows the subject in their environment dynamically.","Orbit Shot, Arc Motion, 360 Spin",Camera orbits 360 degrees around [img 1]. She stands still in the center while the snowy background spins slowly behind her.,
**Movement**,Advanced Physical,Crane / Jib / Boom,The camera sweeps up and over the scene from a high mechanical arm.,"Grand reveals, establishing large environments from above.","Crane Shot, Jib Move","Crane shot starting low on [img 1] and sweeping high up into the air, looking down at the snowy valley below",
**Movement**,Cinematic & AI,"Dolly Zoom (The ""Vertigo"" Effect)",The camera moves backward while zooming in (or vice versa).,"The background warps while the subject stays the same size, creating disorientation.","Dolly Zoom, Vertigo Effect",Dolly zoom effect on [img 1]. The background mountains appear to warp and grow larger while she stays the same size. Vertigo effect,
**Movement**,Cinematic & AI,Crash Zoom,"An incredibly fast, sudden zoom in.","Comedic or dramatic impact, shock effect.","Crash Zoom, Sudden Zoom",Sudden crash zoom into [img 1]'s face. The camera snaps from a wide shot to an extreme close-up instantly. Dramatic impact.,
**Movement**,Cinematic & AI,FPV Drone,"Fast, flying movement that banks, dives, and weaves through a space.","High energy, dynamic, immersive sense of speed.","FPV Drone, High Energy Flight","Fast FPV drone shot flying through a snowy canyon and swooping past [img 1]. High speed, dynamic motion blur.",
**Movement**,Cinematic & AI,Bullet Time,Time freezes (or slows down) while the camera moves around the subject (Matrix style).,"Highlights a critical, slowed moment in time, dynamic perspective.","Bullet Time, Time Freeze","Bullet time effect. Time is frozen with snowflakes suspended in mid-air, while the camera smoothly rotates 180 degrees around [img 1]",
**Movement**,Cinematic & AI,Handheld,"Adds artificial ""shake"" to mimic a human operator.","Gritty and realistic, adds immediacy and urgency.","Handheld Camera, Shake Effect","Handheld camera movement following [img 1]. The image has slight shake and organic motion, documentary war reporter style.",
**Movement**,Cinematic & AI,Roll,The camera rotates its horizon line (spinning the world upside down).,Creates extreme disorientation or visual flair.,"Roll, Horizon Rotation","Camera roll. The horizon line spins 360 degrees while focused on [img 1], turning the snowy world upside down and back again",
**Movement**,Cinematic & AI,Rack Focus,The focus shifts from a foreground object to a background object (or vice versa) without the camera moving.,"Directs the viewer's attention, reveals a new object/person.","Rack Focus, Shift Focus","Rack focus shot. Starts focused on a sword in the foreground, then shifts focus to [img 1]'s face in the background.",
**Movement**,Cinematic & AI,Pull Back Reveal,Starts close on a detail and pulls back to show a surprising environment.,Dramatic reveal of context or scale.,"Pull Back Reveal, Context Reveal","Pull back reveal. Camera starts on the detail of [img 1]'s eye, then pulls back rapidly to show she is standing on top of a burning village",
**Movement**,Cinematic & AI,Fly Through,"The camera moves *through* a window, keyhole, or object to enter a new space.","Seamless transition between spaces, dynamic and immersive.","Fly Through, Seamless Transition",Camera flies through a gap in the trees and past falling snow to land on a medium shot of [img 1].,